Gene1,Gene2
EGR1,PTP4A1
EGR1,STMN1
EGR1,TCF4
EGR1,TP53
BIRC5,EHMT2
CDKN1A,EHMT2
BRCA2,ELF1
ELF1,FLI1
ELF1,MEIS1
ENO1,MYC
ENO1,MYCN
EPAS1,PTPRZ1
ESRRG,NR0B1
ANGPT2,ETS1
ANPEP,ETS1
BMP4,ETS1
CDKN1A,ETS1
COL1A1,ETS1
CXCR4,ETS1
EGR1,ETS1
ETS1,FLI1
ETS1,GRPR
ETS1,NKX3-1
ETS1,PARP1
ETS1,PLAU
ETS1,SPRY2
ETS1,TFAP2A
ETS1,TNC
ETS1,TP53
CAT,ETV1
EGLN1,ETV4
ETS1,ETV4
ETV4,MMP2
ETV4,VIM
ETV5,MMP2
ETS1,ETV7
EWSR1,MITF
EWSR1,NR0B1
EWSR1,PHLDA1
ALDH1A1,EZH2
APC,EZH2
AXL,EZH2
BRCA1,EZH2
CCND1,EZH2
CDKN1A,EZH2
CIITA,EZH2
EZH2,HDAC1
EZH2,MMP2
EZH2,MST1
EZH2,MYC
EZH2,PCNA
EZH2,POLR3D
EZH2,SATB1
EZH2,SFRP1
EZH2,SNAI2
EZH2,TP53
EZH2,TWIST1
CCND1,FHL2
CDKN1A,FHL2
COL1A2,FLI1
EYA3,FLI1
FLI1,FOXM1
FLI1,HDAC1
FLI1,ID2
FLI1,PHLDA1
FOSB,TGFB1
CLU,FOSL1
EZH2,FOSL1
FOSL1,ITGAV
BRCA1,FOSL2
CLU,FOSL2
FOSL1,FOSL2
FOSL2,TGFB1
ABCA1,FOXA1
APOB,FOXA1
BRCA1,FOXA1
CCNG2,FOXA1
CFTR,FOXA1
FOXA1,MYC
FOXA1,TFF1
ABCA1,FOXA2
APOA1,FOXA2
CFTR,FOXA2
FOXA2,NR5A2
FOXA2,PAX6
FOXA2,TFF1
CYFIP2,FOXD3
FOXD3,MITF
FOXD3,RND3
FOXD3,SPP1
AR,FOXH1
AR,FOXM1
BRIP1,FOXM1
BTG2,FOXM1
CCNB1,FOXM1
CDC6,FOXM1
FGB,FOXM1
FOXM1,MYC
ANGPT2,FOXO1
AR,FOXO1
CXCR4,FOXO1
EGR1,FOXO1
FOXO1,PDGFA
CDKN1A,FUBP1
FUBP1,MYC
AR,FUS
DDIT3,FUS
GABPB1,OXTR
ANGPT2,GATA2
AR,GATA2
DPYSL2,GATA2
CDX2,GATA3
GATA3,TGFBR3
GATA3,ZEB1
GATA4,HDAC9
GATA4,NPPB
APOA1,GATA6
DAB2,GATA6
DKK1,GATA6
GATA6,PLAU
GLI1,JUN
GLI1,PDGFRA
GLI1,SFRP1
FOXA2,GLI2
FOXF1,GLI2
FST,GLI2
GLI2,JUN
GLI2,PDGFRA
GTF2I,SIRT1
GATA4,HAND2
APOC3,HDAC1
AR,HDAC1
BAMBI,HDAC1
BIRC5,HDAC1
BRCA2,HDAC1
CCND1,HDAC1
CD1D,HDAC1
CDKN1A,HDAC1
CLDN7,HDAC1
COL1A2,HDAC1
EGFR,HDAC1
EGR1,HDAC1
EPCAM,HDAC1
GAD1,HDAC1
HDAC1,PCNA
HDAC1,POU5F1
HDAC1,PSIP1
HDAC1,SFRP1
HDAC1,SNAI2
HDAC1,SPP1
HDAC1,STAT3
HDAC1,TFF1
HDAC1,TP53
CAD,HDAC2
CCL2,HDAC2
CD1D,HDAC2
CDKN1A,HDAC2
COL1A2,HDAC2
DNMT1,HDAC2
HDAC2,MYC
HDAC2,MYCN
HDAC2,SNAI2
HDAC2,TWIST1
CITED2,HDAC9
HDAC9,TP53
HDGF,VIM
APEX1,HIF1A
AR,HIF1A
ARNT2,HIF1A
ASS1,HIF1A
BNIP3,HIF1A
CCND1,HIF1A
CXCR4,HIF1A
E2F3,HIF1A
EGLN1,HIF1A
ENO1,HIF1A
FAM162A,HIF1A
FGF2,HIF1A
HIF1A,MIF
HIF1A,MMP2
HIF1A,NR3C1
HIF1A,PLAU
HIF1A,PPARA
HIF1A,SLC29A1
HIF1A,SLC2A1
HIF1A,STAT3
HIF1A,TFRC
HIF1A,TWIST1
HIF1A,VHL
HIF1A,VIM
HIF1A,ZNF217
EPAS1,HIF3A
HIF1A,HIF3A
CDKN1A,HIPK2
HIF1A,HIPK2
HIPK2,MEF2C
HIPK2,TP53
HIPK2,VIM
BTG1,HLX
HLX,PAK1
BRCA1,HMGA1
HMGA1,TP53
HMGA1,TWIST1
HMGA2,SNAI1
HMGN1,PCNA
HMGN1,TFF1
ACAT2,HNF4A
AFP,HNF4A
APOA1,HNF4A
APOA2,HNF4A
APOB,HNF4A
APOC3,HNF4A
CDKN1A,HNF4A
HNF4A,MTTP
HNF4A,MYC
HNF4A,PPARA
HOXB4,PROM1
CCND1,HOXB7
EGFR,HOXB7
FGF2,HOXB7
HOXB7,MMP2
HOXB7,PDGFA
HOXB7,WNT5A
ID2,SNAI1
ID3,TCF3
BRCA1,IFI16
IFI16,MYC
IFI16,TP53
ILF2,ILF3
BIRC5,ILF3
HLA-DRB1,ILF3
ILF3,PLAU
AFP,ING1
CDKN1A,ING1
FAT1,ING1
ING1,PCNA
ING1,TP53
CCNB1,IRF1
CDK1,IRF1
CDK4,IRF1
CDKN1A,IRF1
IRF1,PSMB10
IRF1,TP53
IRF1,TRIM22
CCL2,IRF3
IRF3,PURA
IRF3,TLR4
CDKN1A,IRF9
IRF9,NCAM1
IRF9,SP100
ISL1,MEF2C
APOC3,JUN
ATF3,JUN
BEX2,JUN
BRCA1,JUN
CA2,JUN
CCL2,JUN
CCND1,JUN
CDKN1A,JUN
DDIT3,JUN
EGFR,JUN
ETS1,JUN
EZH2,JUN
F3,JUN
FOSL1,JUN
JUN,LGALS3
JUN,MEF2D
JUN,MMP2
JUN,MYC
JUN,NTS
JUN,OXTR
JUN,PCK2
JUN,PENK
JUN,PGR
JUN,PLAU
JUN,POLD2
JUN,PPARA
JUN,RARG
JUN,SOX7
JUN,STMN1
JUN,TFF1
JUN,TNC
JUN,TP53
CCND1,JUND
CDKN1A,JUND
CLU,JUND
F3,JUND
FOSL1,JUND
ITGAV,JUND
JUND,NTS
JUND,SOX4
JUND,TGFB1
JAG1,KDM4C
AR,KHDRBS1
BIRC5,KLF5
CCNB1,KLF5
CCND1,KLF5
CXCR4,KLF5
FOXO1,KLF5
HIF1A,KLF5
ATF3,KLF6
CCND1,KLF6
CDKN1A,KLF6
IGF1R,KLF6
KLF6,LAMA1
KLF6,PMAIP1
KLF6,PTTG1
CDH2,KLF8
EPSTI1,KLF8
FN1,KLF8
KLF8,VIM
AR,LEF1
BIRC5,LEF1
CCND1,LEF1
CD1D,LEF1
CEBPA,LEF1
CTNNB1,LEF1
LEF1,MITF
LEF1,MYC
LEF1,MYCBP
LEF1,SNAI2
LEF1,TCF3
LEF1,TCF4
HIF1A,LIMD1
CCND1,LIN28A
ANGPT2,LMO2
FGF2,LMO2
GYPA,LMO2
LEF1,LMO2
LMO2,NFATC1
LMO2,ZEB1
COL4A1,LMX1B
LMX1B,NLRP2
LMX1B,TCF3
MAFF,OXTR
MAFG,MLH1
MDM4,TP53
JUN,MEF2C
ATF3,MEF2D
AR,MEIS1
MEIS1,SOX3
CTSK,MITF
HIF1A,MITF
HOXB4,MITF
MITF,SERPINF1
CDKN1A,MLLT3
DKK1,MSX1
MSX1,NOTCH3
MXD1,ODC1
MXD4,ODC1
MXI1,MYC
MXI1,MYCN
CCND1,MYBL2
COL1A1,MYBL2
MYBL2,MYC
ASS1,MYC
ATF3,MYC
CAD,MYC
CCNA2,MYC
CCNB1,MYC
CCND1,MYC
MYC,PROM1
CDC25C,MYC
CDCA7,MYC
CDK4,MYC
CDK6,MYC
CDKN1A,MYC
CHEK1,MYC
CHEK2,MYC
CXCR4,MYC
DKK1,MYC
EBNA1BP2,MYC
GATA4,MYC
ID2,MYC
MAPK1,MYC
MME,MYC
MST1,MYC
MYC,ODC1
MYC,PCNA
MYC,PMAIP1
MYC,SART3
MYC,SFRP1
MYC,SRSF1
MYC,SURF2
MYC,TFAP4
MYC,TFRC
MYC,TP53
MYC,UBE2C
BIRC5,MYCN
CDKN1A,MYCN
CIITA,MYCN
CLU,MYCN
DKK3,MYCN
GRHL1,MYCN
HMGA1,MYCN
ID2,MYCN
MCM10,MYCN
MCM2,MYCN
MCM3,MYCN
MCM4,MYCN
MCM5,MYCN
MCM6,MYCN
MCM7,MYCN
MCM8,MYCN
MYBL2,MYCN
MYCN,TP53
MYCN,TP53INP1
AFP,NANOG
CCND1,NANOG
CDK6,NANOG
CDX2,NANOG
DKK1,NANOG
KDR,NANOG
GATA2,NANOG
GATA4,NANOG
GATA6,NANOG
L1TD1,NANOG
LAMB1,NANOG
MTF2,NANOG
NANOG,NODAL
NANOG,POU5F1
NANOG,SEMA6A
CDKN1A,NCOA1
CCL2,NFAT5
NFATC3,TFF1
CDKN1A,NFIA
NFIA,PCK2
CDKN1A,NFIB
NFIB,WFDC2
CCL2,NFIC
COL1A1,NFIC
GTF3C2,NFIC
ITGA5,NFIC
JUN,NFIC
NFIC,POLD2
NFIC,POLE2
NFKBIA,PON2
NFKBIA,S100A6
HOXB7,NFYB
LPIN1,NFYB
NFYB,SOX3
CCND1,NKX3-1
IGF1R,NKX3-1
NKX3-1,SIX6
ASPH,NOTCH3
CCND1,NPM1
CDKN1A,NPM1
DNMT1,NPM1
NPM1,TAF1A
NPM1,USP7
NR0B1,PBX1
ABCA1,NR1H3
BHLHE40,NR1H3
NR2F2,NTS
NR2F2,POU5F1
NR2F2,PPARA
NR2F2,TFAP2A
APOA2,NR2F6
APOB,NR2F6
APOC3,NR2F6
ATP1B1,NR3C1
BRCA1,NR3C1
CCND1,NR3C1
CDK4,NR3C1
CDK6,NR3C1
CDKN1A,NR3C1
ETS1,NR3C1
NR3C1,PNRC1
NR3C1,SPP1
NR3C1,SRF
NR3C1,TP53
CDKN1A,NUPR1
NUPR1,TP53
AURKA,OTX2
CCNG2,OTX2
CDC25C,OTX2
HESX1,OTX2
OTX2,PAX6
AR,PA2G4
BRCA2,PARP1
CDKN1A,PARP1
FBN1,PARP1
FN1,PARP1
FOXO1,PARP1
JUN,PARP1
PARP1,SERPINF1
PARP1,SNAI1
PARP1,VIM
ITGA5,PAX6
MMP2,PAX6
NANOG,PBX1
PBX1,SOX3
ATP1B1,PGR
CCND1,PGR
EGFR,PGR
MYC,PGR
BTG2,PHB2
AR,PIAS2
MYCN,PIAS2
PIAS3,STAT3
JUN,PITX1
NKX3-1,PITX1
PITX1,RUNX1
LEF1,PITX2
PITX2,WNT5A
ID2,POU2AF1
POU2AF1,SPIB
POU2AF1,TK1
AR,POU2F1
CCND1,POU2F1
CDX2,POU2F1
GCM1,POU2F1
ID1,POU2F1
LGALS4,POU2F1
MAD2L1,POU2F1
PLAU,POU2F1
POU2AF1,POU2F1
POU2F1,RRM2B
POU2F1,SNAI2
POU2F1,SNAPC1
POU2F1,SPP1
POU2F1,TK1
POU2F1,TWIST1
ID2,POU2F2
POU2F2,SPIB
POU2F2,SPP1
POU2F2,TK1
BMP4,POU5F1
CDKN1A,POU5F1
CDX2,POU5F1
DDC,POU5F1
DKK1,POU5F1
EOMES,POU5F1
GATA6,POU5F1
HLX,POU5F1
ID2,POU5F1
ITGA6,POU5F1
L1TD1,POU5F1
LEFTY1,POU5F1
POU5F1,SEMA6A
POU5F1,SOX2
POU5F1,SPP1
POU5F1,TDGF1
POU5F1,THY1
POU5F1,ZFP42
APOA4,PPARA
APOB,PPARA
APOC3,PPARA
NFKBIA,PPARA
PLIN2,PPARA
PPARA,SLC25A20
PPARA,TUBA1B
CIITA,PRDM1
LMO2,PRDM1
MYC,PRDM1
PCNA,PRDM1
POU5F1,PRDM14
CCL2,PREB
CDKN1A,PTMA
CCNB1,PTTG1
CDK1,PTTG1
DOCK1,PTTG1
FGF2,PTTG1
ID3,PTTG1
KDR,PTTG1
LGALS1,PTTG1
MYC,PTTG1
AR,PURA
PCNA,PURA
EGR1,RBMX
FOSL1,RBMX
JUND,RBMX
CCL2,REL
CDKN1A,REL
EPHB2,REL
F3,REL
REL,TNFAIP3
GABRB3,REST
LIN28A,REST
NRP1,REST
PENK,REST
REST,SCG3
COL1A2,RFX5
HDAC2,RFX5
HLA-DQB1,RFX5
HLA-DRB1,RFX5
HLA-DRB5,RFX5
HLA-DQB1,RFXANK
HLA-DRB1,RFXANK
HLA-DRB5,RFXANK
CCND1,RNF14
FHL2,RUNX1
JUN,RUNX1
LGALS3,RUNX1
MAD2L1,RUNX1
MECOM,RUNX1
NCAM1,RUNX1
RUVBL1,TP53
DNMT3A,SALL3
HDAC9,SALL3
POU5F1,SALL4
SALL4,ZEB1
CDK4,SATB1
GATA3,SATB1
HDAC1,SATB1
SATB2,UPF3B
NR0B1,SF1
SF1,TCERG1
NPPB,SHOX
NPPB,SHOX2
BCL11A,SIRT1
CCND1,SIRT1
CDKN1A,SIRT1
COL1A2,SIRT1
CTNNB1,SIRT1
EGLN1,SIRT1
ESRRG,SIRT1
EZH2,SIRT1
HIF1A,SIRT1
LIN28A,SIRT1
MYC,SIRT1
PAX6,SIRT1
SIRT1,TBX3
SIRT1,TP53
AFP,SIRT2
CDKN1A,SIRT2
NEDD4,SIRT2
AHR,SMAD2
CDKN1A,SMAD2
GLI1,SMAD2
AHR,SMAD3
APOC3,SMAD3
BAMBI,SMAD3
CDKN1A,SMAD3
FOXA2,SMAD3
FST,SMAD3
GLI2,SMAD3
JUN,SMAD3
MXD1,SMAD3
MYC,SMAD3
SMAD3,TGFB1
SMAD3,TNC
SMAD3,ZFP36
CAD,SMARCA4
CCND1,SMARCA4
CDKN1A,SMARCA4
MECOM,SMARCA4
SMG6,UPF1
CDH2,SNAI1
FN1,SNAI1
CDH2,SNAI2
CXCR4,SNAI2
JAG1,SNAI2
POU5F1,SNAI2
FN1,SOX17
HNF4A,SOX17
NFAT5,SOX17
ASXL1,SOX2
BMP4,SOX2
CCND1,SOX2
DKK1,SOX2
ISL1,SOX2
ITGA6,SOX2
L1TD1,SOX2
PAX6,SOX2
SEMA6A,SOX2
SOX2,VIM
NCAM1,SOX4
NKX3-1,SOX4
ETS1,SP100
ASS1,SP4
BIRC5,SP4
CCND1,SP4
KDR,SP4
CFTR,SRF
CREB1,SRF
FHL2,SRF
FOSL1,SRF
HMGXB4,SRF
LMO7,SRF
MMP2,SRF
PLAU,SRF
PLG,SRF
SRF,TAGLN
LAMB1,SSB
CCL2,STAT2
IRF1,STAT2
RCAN1,STAT2
ABCA1,STAT3
AR,STAT3
BIRC5,STAT3
CCL2,STAT3
CCND1,STAT3
CDK4,STAT3
CDKN1A,STAT3
COPS5,STAT3
DDIT3,STAT3
DNMT1,STAT3
EGFR,STAT3
EPAS1,STAT3
FGF2,STAT3
FGG,STAT3
HP,STAT3
IRF1,STAT3
LTBP1,STAT3
MMP2,STAT3
MYC,STAT3
NANOG,STAT3
NME1,STAT3
OAS1,STAT3
POU2F1,STAT3
PPARA,STAT3
PRDM1,STAT3
SALL4,STAT3
STAT3,TGFB1
STAT3,TP53
STAT3,TWIST1
STAT3,UCP2
STAT3,USP7
STAT3,ZFP36
CDKN1A,TAF5
MYC,TBL1X
CDKN1A,TBX3
CDK6,TCF3
CDKN1A,TCF3
EXO1,TCF3
MYC,TCF3
POU5F1,TCF3
BIRC5,TCF4
CCND1,TCF4
FST,TCF4
HECA,TCF4
JUN,TCF4
LGR5,TCF4
MITF,TCF4
MYC,TCF4
TCF4,VCAN
TCF4,VIM
SRF,TEAD1
CCNB1,TFAP2A
CDKN1A,TFAP2A
CFTR,TFAP2A
COL1A1,TFAP2A
CRABP2,TFAP2A
CRX,TFAP2A
EGFR,TFAP2A
FOXA1,TFAP2A
MMP2,TFAP2A
NR3C1,TFAP2A
POLD2,TFAP2A
SPRY2,TFAP2A
TAF7,TFAP2A
CDKN1A,TFAP2C
CRABP2,TFAP2C
MMP2,TFAP2C
CDKN1A,TFAP4
SALL2,TFAP4
CDK1,TFDP1
MYBL2,TFDP1
NRIP1,TFDP1
PCNA,TFDP1
RRM1,TFDP1
TFDP1,TP53
TFDP1,TYMS
SOX3,TGIF1
RUNX1,TLE3
JUN,TNFAIP3
SATB1,TNFAIP3
RUNX1,TOP2B
AFP,TP53
ANKRD1,TP53
BIRC5,TP53
BRCA1,TP53
BRCA2,TP53
BTG2,TP53
CCNA2,TP53
CCNB1,TP53
CCNB2,TP53
CCND1,TP53
CDK1,TP53
CDK4,TP53
CDKN1A,TP53
CHEK1,TP53
CHEK2,TP53
CTNNB1,TP53
CYFIP2,TP53
DDB2,TP53
DKK1,TP53
E2F3,TP53
E2F7,TP53
EGFR,TP53
EPHA2,TP53
FGF2,TP53
FOXM1,TP53
FUS,TP53
GLI2,TP53
HNF4A,TP53
ID1,TP53
ID2,TP53
IGF1R,TP53
MCM7,TP53
MMP2,TP53
NKX3-1,TP53
NME1,TP53
PIAS3,TP53
PLAGL1,TP53
PLK1,TP53
PMAIP1,TP53
PRC1,TP53
PTTG1,TP53
RRM2B,TP53
SLC2A1,TP53
SMAD3,TP53
TP53,TRIM22
TP53,TYMS
TP53,UHRF1
TP53,VCAN
E2F3,TRIM28
E2F4,TRIM28
ID1,TRIM28
CDK6,TRIP6
CDH2,TWIST1
CTPS1,TWIST1
DKK1,TWIST1
FN1,TWIST1
MAPK1,TWIST1
MMP2,TWIST1
TWIST1,YBX1
TAF1B,UBTF
TOP2A,UHRF1
UPF1,UPF2
ANGPT2,VHL
AR,VHL
CA12,VHL
CCND1,VHL
COL4A2,VHL
CXCR4,VHL
DAB2,VHL
IGF1R,VHL
BHLHE40,VHL
TCF4,VHL
TFRC,VHL
TP53,VHL
MYC,WDR5
ERBB4,WWP1
TGFBR1,WWP1
ASNS,WWTR1
SMAD3,WWTR1
CCL2,XBP1
DDIT3,XBP1
GAD1,XBP1
NPPB,XBP1
ETS1,XRCC5
AGT,YBX1
ANAPC4,YBX1
AR,YBX1
CCNB1,YBX1
CDC20,YBX1
CDKN3,YBX1
CKS2,YBX1
CXCR4,YBX1
EGFR,YBX1
KPNA2,YBX1
MMP2,YBX1
MYCN,YBX1
RBBP8,YBX1
TOP2A,YBX1
TYMS,YBX1
TP53,YEATS4
CCNA2,ZBTB16
CEBPA,ZBTB16
CXCR4,ZBTB16
ID2,ZBTB16
LEF1,ZBTB16
CDKN1A,ZBTB2
TP53,ZBTB2
AR,ZEB1
EPCAM,ZEB1
GRHL2,ZEB1
POU5F1,ZEB1
ITGA5,ZEB2
POU5F1,ZEB2
VIM,ZEB2
AFP,ZFHX3
CDKN1A,ZFHX3
HIF1A,ZFP36
TCF4,ZIC2
BUB1B,ZNF143
ESCO2,ZNF143
TLR4,ZNF160
ABCA1,ZNF202
CCND1,ZNF24
CTNNB1,ZNF24
CDKN1A,ZNF300
MYC,ZNF300
AATF,CHEK1
AATF,CHEK2
AATF,MPHOSPH6
AATF,MPP6
AATF,PAWR
AEBP1,TCF3
AEBP2,EED
AEBP2,RBBP4
AES,AR
AES,GTF2E1
AES,MSX1
AES,POU2F1
AES,PRDM1
AES,SIX6
AFF1,MLLT3
AAAS,AHR
ACTN1,AHR
ADAM9,AHR
AHR,ALCAM
AHR,APEH
AHR,AR
AHR,ARID3A
AHR,ARL4D
AHR,ARRB1
AHR,ATF3
AHR,ATG3
AHR,BCAT2
AHR,BCL11A
AHR,BCL11B
AHR,BHLHE40
AHR,C1GALT1
AHR,CAMK2D
AHR,CBX3
AHR,CD320
AHR,CDCA7L
AHR,CDK6
AHR,CKS1B
AHR,CNBP
AHR,COBLL1
AHR,CREB1
AHR,CRIM1
AHR,CTDSPL
AHR,CTSK
AHR,CUL1
AHR,DCLK1
AHR,DDAH1
AHR,DHRS3
AHR,DNAJB14
AHR,DNAJC11
AHR,DNAJC16
AHR,DPH2
AHR,DUSP10
AHR,EFNA5
AHR,EGR1
AHR,EHMT2
AHR,EIF2B3
AHR,EIF5A2
AHR,ERAL1
AHR,ESCO2
AHR,ETV4
AHR,EWSR1
AHR,EZH2
AHR,FAM83D
AHR,FBXO34
AHR,FGD6
AHR,FGFR1
AHR,FOXA2
AHR,FOXN3
AHR,FOXO1
AHR,FOXP1
AHR,FST
AHR,FUT8
AHR,FZD5
AHR,G6PC3
AHR,GAD1
AHR,GPC3
AHR,GSN
AHR,GTF2F2
AHR,HAND2
AHR,HECA
AHR,HERPUD1
AHR,HIST1H2BC
AHR,HMGA1
AHR,HMGN2
AHR,HNRNPUL1
AHR,HOXB7
AHR,IMMP1L
AHR,IQGAP2
AHR,IRF1
AHR,ISG15
AHR,ISL1
AHR,JAG1
AHR,KIAA1715
AHR,KIF1A
AHR,LAMC1
AHR,LGALSL
AHR,LHFP
AHR,LMO2
AHR,LMO3
AHR,MAEA
AHR,MAML3
AHR,MATR3
AHR,MED30
AHR,MEIS2
AHR,MLLT6
AHR,MOV10
AHR,MRPL49
AHR,MTF2
AHR,MXI1
AHR,MYO9A
AHR,NAV2
AHR,NCOA1
AHR,NFATC1
AHR,NFKBIB
AHR,NME2
AHR,NR2F2
AHR,NR3C1
AHR,NRIP1
AHR,NSD1
AHR,NUDT11
AHR,OSBPL10
AHR,OTX2
AHR,PARN
AHR,PDGFA
AHR,PHLPP1
AHR,PIAS2
AHR,PIM2
AHR,PLCB1
AHR,POLK
AHR,POLR1D
AHR,POU2F2
AHR,POU3F1
AHR,PPARA
AHR,PPIC
AHR,PPP1R9A
AHR,PPP3CA
AHR,PREPL
AHR,PRMT5
AHR,PRMT6
AHR,PSEN1
AHR,PTMA
AHR,RAD51
AHR,RAI1
AHR,RARG
AHR,RBBP7
AHR,REL
AHR,SDCCAG8
AHR,SFRP2
AHR,SH3BP4
AHR,SH3PXD2A
AHR,SHISA6
AHR,SIAE
AHR,SLC16A2
AHR,SLC25A11
AHR,SLC25A37
AHR,SLC7A3
AHR,SLC7A5
AHR,SMAD5
AHR,SMAD6
AHR,SMARCA4
AHR,SMC6
AHR,SORL1
AHR,SOX2
AHR,SOX5
AHR,SP4
AHR,SRSF6
AHR,SSBP3
AHR,SYNE2
AHR,SYT1
AHR,TAF7
AHR,TBL1X
AHR,TFAP4
AHR,TGFBR1
AHR,THAP1
AHR,TIMP3
AHR,TMEM126B
AHR,TMEM64
AHR,TNNI3
AHR,TPGS2
AHR,TRIM27
AHR,TRIM33
AHR,TRIM35
AHR,TSPAN13
AHR,UBTF
AHR,UCK2
AHR,USP1
AHR,VSNL1
AHR,WNT5A
AHR,XPO6
AHR,XRCC6
AHR,YARS
AHR,ZEB2
AHR,ZFHX3
AHR,ZIC2
AHR,ZNF516
AHR,ZNHIT3
AHR,ZSWIM6
AIP,PPARA
ALS2CR8,LMO3
ALYREF,LEF1
ANKRD1,TTN
ANKZF1,AURKB
ANKZF1,CA2
APC,BUB1
APC,CTBP1
APC,CTNNB1
APC,KIFAP3
APC,TBL1X
APC,TFAP2A
APC,TUBA4A
APEX1,FEN1
APEX1,HDAC1
APEX1,HMGB2
APEX1,NME1
APEX1,PCNA
APEX1,POLB
APEX1,TP53
APEX1,XRCC6
ACAA1,AR
ACOX2,AR
ADAMTS3,AR
AKR1B1,AR
