Gene1,Gene2
RELA,TNF
RELA,TNFAIP3
RELA,TRP53
RELA,UPP1
MYB,RELB
MYC,RELB
FOS,RPS6KA5
CEBPA,RUNX1
CSF1R,RUNX1
MPL,RUNX1
RUNX1,SPI1
BCL2,RUNX1T1
RUNX1,RUNX1T1
RUNX1T1,TCF12
ATF6,RUNX2
DDX5,RUNX2
IFI204,RUNX2
IKZF1,RUNX2
LGALS3,RUNX2
MCM3,RUNX2
PTTG1IP,RUNX2
RUNX2,SOX6
RUNX2,SPP1
CDKN1A,SALL2
BCL2,SATB1
SATB1,SPI1
ABCG2,SF1
CYP26B1,SF1
BMI1,SIN3B
ITCH,SKIL
SKIL,TPT1
SKIL,TRP53
CSF1R,SLA2
CDKN1A,SMAD2
GADD45B,SMAD2
RGCC,SMAD2
SKIL,SMAD2
CDKN1A,SMAD4
GADD45B,SMAD4
HHEX,SMAD4
ID2,SMAD4
ID3,SMAD4
IFI204,SMAD4
JUN,SMAD4
OCLN,SMAD4
SKIL,SMAD4
SMAD4,SSTR2
CALM1,SMARCA2
CCNA2,SMARCA2
CD44,SMARCA2
SMARCA2,TMEM50A
CALM1,SMARCA4
CD44,SMARCA4
CDKN1A,SMARCA4
MITF,SMARCA4
NFKBIA,SMARCA4
SOX6,TRP53
ACSS1,SP1
AHR,SP1
APOE,SP1
APP,SP1
ASAH1,SP1
BACE1,SP1
BACH1,SP1
BHLHE40,SP1
BTK,SP1
CD14,SP1
CD55,SP1
CDK6,SP1
CDKN1A,SP1
CDKN1C,SP1
CEBPA,SP1
COL5A1,SP1
COPS5,SP1
COX17,SP1
COX4I1,SP1
CSF1R,SP1
CTSE,SP1
DCK,SP1
DNMT1,SP1
EGR1,SP1
EPAS1,SP1
EPOR,SP1
ETS1,SP1
FOS,SP1
GHR,SP1
HDAC7,SP1
HMGA1,SP1
ICAM1,SP1
ITGA6,SP1
JAK3,SP1
JUN,SP1
KDM5A,SP1
KIT,SP1
LGALS1,SP1
LHCGR,SP1
LMNA,SP1
LPL,SP1
MAPK1,SP1
MFN2,SP1
MGST1,SP1
MIF,SP1
MRC1,SP1
MTA2,SP1
MYB,SP1
MYC,SP1
NDRG1,SP1
NFATC1,SP1
NOTCH1,SP1
PARP1,SP1
PCYT1A,SP1
PGR,SP1
PLAUR,SP1
PRDX6,SP1
PRKAR2B,SP1
PTDSS1,SP1
PTGS1,SP1
RAC2,SP1
RNF141,SP1
RUNX2,SP1
SCARB1,SP1
SELL,SP1
SKIL,SP1
SLC25A4,SP1
SLC2A3,SP1
SLC3A2,SP1
SOD2,SP1
SP1,SP4
SP1,SULT1A1
SP1,TEC
SP1,TLR2
SP1,TNF
SP1,TNFAIP3
SP1,TPT1
SP1,TRF
SP1,TSPO
SP1,TYMS
SP1,UCP2
PTDSS1,SP4
AIF1,SPI1
CD1D1,SPI1
CSF1R,SPI1
ELANE,SPI1
ELF1,SPI1
FCER1G,SPI1
FES,SPI1
FLT3,SPI1
H2-AB1,SPI1
IGHM,SPI1
IL1B,SPI1
IL7R,SPI1
MED1,SPI1
MEF2C,SPI1
MRC1,SPI1
NCF1,SPI1
NCF4,SPI1
NFKB1,SPI1
PIRB,SPI1
PTPRC,SPI1
SPI1,TEC
SPI1,TLR4
SPI1,TNF
APP,STAT1
BACE1,STAT1
CD36,STAT1
CIITA,STAT1
EGR1,STAT1
GBP2,STAT1
GFI1,STAT1
IRF1,STAT1
IRF7,STAT1
IRF9,STAT1
MDM2,STAT1
MT1,STAT1
RUNX2,STAT1
STAT1,TRP53
STAT1,UPP1
IRF7,STAT2
STAT2,TRP53
AKT1,STAT3
BACE1,STAT3
BCL2,STAT3
EGR1,STAT3
EPOR,STAT3
FOS,STAT3
GFI1,STAT3
HIF1A,STAT3
IL12A,STAT3
JAK3,STAT3
KLF4,STAT3
LY6A,STAT3
MT1,STAT3
MYC,STAT3
PIK3R1,STAT3
PNP,STAT3
RELA,STAT3
SOX6,STAT3
SPI1,STAT3
STAT3,TNF
STAT3,TRP53
EGR1,STAT6
GFI1,STAT6
NCOA3,STAT6
STAT6,TFEC
STAT6,TNF
TAF9,TRP53
ADD2,TARDBP
RAN,TARDBP
ID2,TCF12
CCNE1,TCF19
CD44,TCF7L2
TEAD2,TRP53
CDKN1A,TFDP1
TFDP1,TRP53
CEBPA,THRAP3
FABP4,THRAP3
CASP3,TNF
MYC,TRIM28
TRIM28,ZFX
ATF3,TRP53
AXL,TRP53
BCL2,TRP53
BIRC5,TRP53
BTG2,TRP53
CASP3,TRP53
CCNA2,TRP53
CCNB1,TRP53
CCNB2,TRP53
CDKN1A,TRP53
CDKN1C,TRP53
CKAP2,TRP53
CKS1B,TRP53
DUSP1,TRP53
DUSP2,TRP53
GLIPR1,TRP53
HDGF,TRP53
ID2,TRP53
MAPK1,TRP53
MCM7,TRP53
MCTS1,TRP53
MT1,TRP53
NDRG1,TRP53
NOTCH1,TRP53
NR3C1,TRP53
NUPR1,TRP53
PCNA,TRP53
PDGFRB,TRP53
PML,TRP53
PRNP,TRP53
PSEN1,TRP53
PSME3,TRP53
RUNX1,TRP53
SALL2,TRP53
SESN1,TRP53
SLC6A6,TRP53
SOD2,TRP53
STEAP3,TRP53
TCF7L2,TRP53
TPT1,TRP53
TRP53,TYMS
TRP53,UHRF1
TRP53,UPP1
KLF4,TRP53
RUNX1,TRPS1
RUNX2,TRPS1
STAT3,TRPS1
MDM2,TSG101
NFE2L2,UBE2K
PF4,USF2
MT1,USF2
SPP1,USF2
CTNNB1,VDR
RUNX2,VDR
SPP1,VDR
HIF1A,VHL
FOXO1,XBP1
HERPUD1,XBP1
IRF4,XBP1
TMBIM6,XBP1
BMI1,YBX1
NONO,YBX1
SLC2A3,YBX1
CDKN1A,ZBTB16
CCNA2,ZBTB7A
CREB3,ZBTB7A
NFATC1,ZBTB7A
OCLN,ZEB2
TCP1,ZFP143
CDKN1A,ZFP148
GATA1,ZFP148
SPI1,ZFP148
NFKB1,ZFP36
ABL1,CD55
ABL1,CISH
ABL1,CRK
ABL1,MYC
ABL1,NCK1
ABL1,RAC1
ABL1,RAC2
ABL1,RB1
ABTB1,EWSR1
AEBP2,EZH2
AES,TRAF1
AGAP3,FOS
AGAP3,PML
AHCTF1,AURKB
AHCTF1,BIRC5
AHCTF1,BUB1B
AHCTF1,BUB3
AHCTF1,CDC20
AHCTF1,CENPA
AHCTF1,CENPK
AHCTF1,CENPL
AHCTF1,CENPO
AHCTF1,MIS12
AHCTF1,NDC80
AHCTF1,NDE1
AHCTF1,NDEL1
AHCTF1,NUP107
AHCTF1,NUP85
AHCTF1,NXF1
AHCTF1,PLK1
AHCTF1,RANGAP1
AHCTF1,SEC13
AHCTF1,SEH1L
AHCTF1,SPC24
AHCTF1,SPC25
2410015M20RIK,AHR
3230401D17RIK,AHR
4933434E20RIK,AHR
9530082P21RIK,AHR
ACTG1,AHR
ACTN1,AHR
AFAP1L1,AHR
AGAP3,AHR
AHCYL1,AHR
AHR,AIP
AHR,AMPD2
AHR,ANKRD27
AHR,ANXA6
AHR,APEH
AHR,APLP2
AHR,ARF4
AHR,ATF2
AHR,ATF3
AHR,ATL2
AHR,ATP6AP2
AHR,BANF1
AHR,BCAP31
AHR,BHLHE40
AHR,BIRC6
AHR,BLOC1S1
AHR,BOLA2
AHR,BTAF1
AHR,BTG2
AHR,CAMK2D
AHR,CBFA2T3
AHR,CBX7
AHR,CCNL1
AHR,CD83
AHR,CDC42
AHR,CDK2AP2
AHR,CDK6
AHR,CENPO
AHR,CFL1
AHR,CHCHD10
AHR,CHD7
AHR,CHMP2A
AHR,CHMP5
AHR,CHMP7
AHR,CIB1
AHR,CIC
AHR,CKS1B
AHR,CNBP
AHR,CSGALNACT2
AHR,CTSA
AHR,DBI
AHR,DEGS1
AHR,DENND2D
AHR,DHRS3
AHR,DNAJC11
AHR,DPH2
AHR,DYNLL1
AHR,EEF1G
AHR,EGR1
AHR,EGR2
AHR,EHMT2
AHR,EIF4ENIF1
AHR,ELAC2
AHR,EMCN
AHR,ETFB
AHR,EWSR1
AHR,EZH2
AHR,FAM102B
AHR,FAM189B
AHR,FAR1
AHR,FCHO2
AHR,FKBP1A
AHR,FOXRED1
AHR,FUT8
AHR,GATAD2A
AHR,GLT25D1
AHR,GNB2L1
AHR,GNL3
AHR,GRIA3
AHR,GSN
AHR,GSR
AHR,GTF2A2
AHR,H2AFX
AHR,HDAC7
AHR,HERC4
AHR,HERPUD1
AHR,HINT1
AHR,HIST1H2BC
AHR,HMGA1
AHR,HMGN2
AHR,HNRNPAB
AHR,HSP90AA1
AHR,HSP90AB1
AHR,IKZF2
AHR,IMMT
AHR,INSRR
AHR,ITPR1
AHR,KAZALD1
AHR,KDM5A
AHR,KDM6B
AHR,KIT
AHR,KLF1
AHR,KLF3
AHR,KLF4
AHR,LRRC59
AHR,MAML3
AHR,MAPK12
AHR,MARCKS
AHR,MATR3
AHR,MCTP2
AHR,MEMO1
AHR,METTL8
AHR,MGST1
AHR,MORF4L2
AHR,MRPL28
AHR,MRPL36
AHR,N4BP3
AHR,NAA35
AHR,NCOR1
AHR,NDUFS3
AHR,NFATC1
AHR,NFKB1
AHR,NFKBIB
AHR,NME2
AHR,NOP10
AHR,NR3C1
AHR,NRF1
AHR,PABPC1
AHR,PDE1B
AHR,PER1
AHR,PFKFB3
AHR,PFN1
AHR,PHKB
AHR,PIM2
AHR,PIP4K2A
AHR,POLR1D
AHR,PPARGC1A
AHR,PPIA
AHR,PPIC
AHR,PPP1R9A
AHR,PRDM16
AHR,PRMT5
AHR,PRPF40A
AHR,PSMD8
AHR,PTMA
AHR,RANBP1
AHR,RASGEF1B
AHR,RASSF5
AHR,RB1
AHR,REL
AHR,RELA
AHR,RELB
AHR,RNASEK
AHR,RNF38
AHR,RPL10A
AHR,RPS26
AHR,RRAS
AHR,SEC61A1
AHR,SEPT8
AHR,SETD2
AHR,SHROOM4
AHR,SKIL
AHR,SLC16A2
AHR,SLC25A3
AHR,SLC6A6
AHR,SMARCA5
AHR,SNX30
AHR,SOAT1
AHR,SOD1
AHR,SORL1
AHR,SP4
AHR,SPCS3
AHR,SRSF6
AHR,STARD10
AHR,STAT1
AHR,SUGT1
AHR,TACC3
AHR,TAPBP
AHR,TGFBR1
AHR,TIAL1
AHR,TIMM23
AHR,TMED3
AHR,TMEM64
AHR,TNF
AHR,TPM4
AHR,TPP1
AHR,TRA2B
AHR,TRIB2
AHR,TRIM35
AHR,TRIM47
AHR,TSC22D4
AHR,TSHZ3
AHR,TSPAN13
AHR,TXNDC17
AHR,UBAC1
AHR,UBC
AHR,UBTF
AHR,UQCR11
AHR,USP25
AHR,VIM
AHR,WDR6
AHR,XPR1
AHR,XRCC6
AHR,YWHAQ
AHR,ZBTB7A
AHR,ZEB2
AHR,ZFHX3
AHR,ZFP91
AHR,ZFX
AHR,ZMIZ1
AHR,ZMYM2
APBB1,APP
APBB1,PRNP
APBB1,TRP53
APEX1,CSE1L
APEX1,HDAC1
APEX1,HDAC2
APEX1,LIG1
APEX1,NHP2
APEX1,PCNA
APEX1,PNO1
APEX1,POLD1
APEX1,POLD4
APEX1,RARS
APEX1,SOD2
APEX1,SRM
APEX1,TXN1
APEX1,UROD
ARID1A,CHD7
ARID1A,E2F4
ARID1A,HDAC1
ARID1A,HDAC2
ARID1A,PHF10
ARID1A,SMARCA2
ARID1A,SMARCA4
ARID1A,SMARCB1
ARID1A,SMARCC2
ARID1A,SMARCE1
ARID1A,TOP2B
ARID1A,UBB
ARID1A,YWHAZ
ARID1B,E2F4
ARID1B,SMARCA2
ARID1B,SMARCA4
ARID1B,STAT3
ASH1L,EWSR1
ASH1L,H3F3A
ASH1L,NFE2
AKT1,ATF2
ATF2,BCL2
ATF2,CAMK2D
ATF2,CREBBP
ATF2,FOSB
ATF2,MAPK1
ATF2,MAPK12
ATF2,MAPK14
ATF2,MAPK3
ATF2,MAPK9
ATF2,PCNA
ATF2,PPARGC1A
ATF2,PPP1CA
ATF2,PPP1CB
ATF3,CCNA2
ATF3,EZH2
ATF3,HDAC1
ATF3,HDAC2
ATF3,JUN
ATF3,JUNB
ATF3,KLF6
ATF3,NDRG1
ATF3,NFE2L2
ATF3,SMARCA4
ATF3,STAT1
AKT1,ATF4
ATF4,BCL2
ATF4,CAMK2D
ATF4,CREBBP
ATF4,EIF2S1
ATF4,FOS
ATF4,FOSB
ATF4,GABBR1
ATF4,JUN
ATF4,MAPK1
ATF4,MAPK3
ATF4,MAPKAPK3
ATF4,PCNA
ATF4,PPP1CA
ATF4,PPP1CB
ATF4,PPP1R15A
ATF4,RPS6KA3
ATF4,RPS6KA5
ATF6,CASP12
ATF6,MAPK14
ATF6,MBTPS1
ATF6,PSEN1
ATF6,PSEN2
ATF7,FOS
1500032L24RIK,BACH1
ALDOA,BACH1
ARPP21,BACH1
ATOX1,BACH1
AXL,BACH1
BACH1,BANF1
BACH1,BC028528
BACH1,BCAP31
BACH1,CAPZA1
BACH1,CDCA8
BACH1,CERK
BACH1,CLIC1
BACH1,CLU
BACH1,CNBP
BACH1,COL5A1
BACH1,CREB3
BACH1,CRK
BACH1,CUL3
BACH1,DHRS3
BACH1,E2F6
BACH1,EEF1A1
BACH1,EGR2
BACH1,EIF4E
BACH1,EPDR1
BACH1,ETS1
BACH1,FTH1
BACH1,GCLC
BACH1,GHITM
BACH1,GORASP1
BACH1,H2-DMA
BACH1,HARS
BACH1,HN1
BACH1,HNRNPD
BACH1,IL1RN
BACH1,IL7R
BACH1,ITM2A
BACH1,ITM2B
BACH1,KDM2B
BACH1,KLF4
BACH1,LMNA
BACH1,LSP1
BACH1,MBNL1
BACH1,NDRG2
BACH1,NDUFA8
BACH1,NEDD8
BACH1,NRAS
BACH1,PKM
BACH1,PLEC
BACH1,PLP2
BACH1,POLR2H
BACH1,PRKCH
BACH1,PRNP
BACH1,PSMA5
BACH1,PSMC2
BACH1,PTGS1
BACH1,RASSF4
BACH1,S100A4
BACH1,SATB1
BACH1,SEC24D
BACH1,SGK1
BACH1,SH3BGRL3
BACH1,SLC25A45
BACH1,SLC40A1
BACH1,SQSTM1
BACH1,SSH2
BACH1,TINAGL1
BACH1,TOX4
BACH1,TRERF1
BACH1,TREX1
BACH1,TUBB6
BACH1,TUBGCP2
BACH1,UBC
BACH1,UNK
BACH1,VAV3
BACH1,VEGFC
BACH1,WDR73
BACH1,ZBTB8OS
BACH1,ZFP36
BACH1,ZYX
BATF3,JUNB
BAZ1A,SMARCA5
BCLAF1,JARID2
BHLHE40,HDAC1
BHLHE40,STAT3
ATP6V1A,BIN1
BLZF1,ORC2
BAP1,BMI1
BMI1,CBFB
BMI1,EZH2
BMI1,HDAC2
BMI1,KDM2B
BMI1,RBBP4
BMI1,RBBP7
BMI1,RUNX1
BMI1,SUZ12
BTF3,EEF1B2
BTF3,RPL10A
BTF3,RPL19
BTF3,RPL5
BTF3,RPS15
BTF3,RPS17
BTG1,CNOT7
BTG1,CNOT8
BTG1,PABPC1
BTG2,CNOT7
BTG2,CNOT8
BTG2,PABPC1
BTG2,ZFP36
CBFA2T3,RUNX1
CBFA2T3,SFPI1
CBFB,RUNX1
CBFB,RUNX2
CBFB,TIE1
CBX3,KDM2B
CBX3,LMNA
CBX3,RUNX1
CBX3,TRIM28
CBX7,H3F3A
CBX7,HMGA1
CDC5L,CRNKL1
CDC5L,CWC15
CDC5L,HSPA8
CDC5L,MKI67
CDC5L,SF3B3
CDC5L,SNRPD1
CDC5L,XAB2
0610031J06RIK,CEBPA
1500032L24RIK,CEBPA
1700017B05RIK,CEBPA
1810027O10RIK,CEBPA
2810468N07RIK,CEBPA
4833439L19RIK,CEBPA
4933434E20RIK,CEBPA
ACAA2,CEBPA
ACSS2,CEBPA
ACTR3,CEBPA
AGAP3,CEBPA
AI413582,CEBPA
ANK,CEBPA
AP2S1,CEBPA
APEH,CEBPA
ARF4,CEBPA
ARHGEF6,CEBPA
ARID5A,CEBPA
ARPP21,CEBPA
ATAD2,CEBPA
ATF3,CEBPA
ATP5G1,CEBPA
BC056474,CEBPA
BHLHE40,CEBPA
BYSL,CEBPA
CALR,CEBPA
CAPZA2,CEBPA
CAPZB,CEBPA
